;Matricula;Mes;Padrao;Remuneracao_Base_Antiga;R1013_Antiga;R1014_Antiga;Remuneracao_Base_Nova
;23564;072023;C31;0;0;0;13136.95
;23565;072023;B46;0;0;0;19587.16
;23566;072023;B46;0;0;0;19587.16
;23567;072023;A46;0;0;0;19587.16
;23569;072023;C31;0;0;0;13136.95
;23573;072023;B46;0;0;0;19587.16
;23577;072023;C31;0;0;0;13136.95
;23578;072023;C31;0;0;0;13136.95
;23579;072023;C31;0;0;0;13136.95
;23582;072023;B46;0;0;0;19587.16
;23583;072023;B46;0;0;0;19587.16
;23585;072023;C31;0;0;0;13136.95
;23587;072023;B46;0;0;0;19587.16
;23590;072023;A46;0;0;0;19587.16
;23672;072023;B46;0;0;0;19587.16
;23673;072023;C31;0;0;0;13136.95
;23674;072023;C31;0;0;0;13136.95
;23675;072023;A46;0;0;0;19587.16
;23676;072023;B46;0;0;0;19587.16
;23677;072023;B46;0;0;0;19587.16
;23678;072023;B46;0;0;0;19587.16
;23679;072023;B46;0;0;0;19587.16
;23680;072023;A46;0;0;0;19587.16
;23681;072023;C31;0;0;0;13136.95
;23682;072023;C31;0;0;0;13136.95
;23683;072023;C31;0;0;0;13136.95
;23684;072023;C31;0;0;0;13136.95
;23685;072023;A46;0;0;0;19587.16
;23686;072023;C31;0;0;0;13136.95
;23687;072023;B46;0;0;0;19587.16
;23688;072023;C31;0;0;0;13136.95
;23689;072023;B46;0;0;0;19587.16
;23690;072023;B46;0;0;0;19587.16
;23750;072023;C31;0;0;0;13136.95
;23751;072023;A46;0;0;0;19587.16
;23752;072023;B46;0;0;0;19587.16
;23753;072023;A46;0;0;0;19587.16
;23754;072023;B46;0;0;0;19587.16
;23755;072023;B46;0;0;0;19587.16
;23756;072023;A46;0;0;0;19587.16
;23757;072023;B46;0;0;0;19587.16
;23758;072023;B46;0;0;0;19587.16
;23759;072023;C31;0;0;0;13136.95
;23760;072023;C31;0;0;0;13136.95
;23761;072023;C31;0;0;0;13136.95
;23762;072023;C31;0;0;0;13136.95
;23763;072023;A46;0;0;0;19587.16
;23764;072023;C31;0;0;0;13136.95
;23765;072023;B46;0;0;0;19587.16
;23766;072023;C31;0;0;0;13136.95
;23767;072023;C31;0;0;0;13136.95
;23768;072023;C31;0;0;0;13136.95
;23769;072023;C31;0;0;0;13136.95
;23770;072023;C31;0;0;0;13136.95
;23771;072023;C31;0;0;0;13136.95
;23772;072023;C31;0;0;0;13136.95
;23911;072023;C31;0;0;0;13136.95
;23912;072023;C31;0;0;0;13136.95
;23913;072023;B46;0;0;0;19587.16
;23914;072023;C31;0;0;0;13136.95
;23915;072023;A46;0;0;0;19587.16
;23916;072023;C31;0;0;0;13136.95
;23918;072023;B46;0;0;0;19587.16
;23919;072023;C31;0;0;0;13136.95
;23920;072023;C31;0;0;0;13136.95
;23921;072023;B46;0;0;0;19587.16
;23922;072023;A46;0;0;0;19587.16
;23923;072023;C31;0;0;0;13136.95
;23925;072023;C31;0;0;0;13136.95
;23926;072023;A46;0;0;0;19587.16
;23927;072023;C31;0;0;0;13136.95
;23928;072023;B46;0;0;0;19587.16
;23929;072023;C31;0;0;0;13136.95
;23930;072023;B46;0;0;0;19587.16
;23931;072023;B46;0;0;0;19587.16
;23932;072023;B46;0;0;0;19587.16
;23933;072023;B46;0;0;0;19587.16
;23980;072023;C31;0;0;0;13136.95
;23981;072023;C31;0;0;0;13136.95
;23982;072023;C31;0;0;0;13136.95
;23983;072023;C31;0;0;0;13136.95
;23984;072023;B46;0;0;0;19587.16
;23985;072023;B46;0;0;0;19587.16
;23986;072023;A46;0;0;0;19587.16
;23987;072023;C31;0;0;0;13136.95
;23988;072023;C31;0;0;0;13136.95
;23989;072023;C31;0;0;0;13136.95
;23990;072023;B46;0;0;0;19587.16
;23991;072023;C31;0;0;0;13136.95
;23992;072023;C31;0;0;0;13136.95
;23993;072023;B46;0;0;0;19587.16
;23994;072023;B46;0;0;0;19587.16
;23995;072023;B46;0;0;0;19587.16
;23996;072023;C31;0;0;0;13136.95
;24032;072023; ;0;0;0;10923.1
;24122;072023; ;0;0;0;7166.62
;24127;072023; ;0;0;0;14249.34
;24151;072023;C31;0;0;0;13136.95
;24209;072023;C31;0;0;0;13136.95
;24210;072023;C31;0;0;0;13136.95
;24231;072023;C31;0;0;0;13136.95
;24239;072023;B46;0;0;0;19587.16
;24251;072023;C31;0;0;0;13136.95
;24275;072023;A46;0;0;0;19587.16
;24276;072023;B46;0;0;0;19587.16
